,color_tags
23186,"['Brown', 'Burgundy', 'Gold', 'Grey', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Silver', 'White', 'Yellow']"
23187,"['Beige', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Orange', 'Purple', 'Silver', 'Transparent']"
23188,"['Brown', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Orange', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
23189,"['Black', 'Brown', 'Gold', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Purple', 'Red', 'Silver', 'Transparent', 'White', 'Yellow']"
23190,"['Beige', 'Black', 'Green', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Purple', 'Red', 'Transparent', 'White']"
23191,"['Burgundy', 'Gold', 'Grey', 'Navy', 'Pink', 'Silver', 'Transparent']"
23192,"['Brown', 'Green', 'Grey', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
23193,"['Beige', 'Brown', 'Gold', 'Green', 'Grey', 'Navy', 'Orange', 'Pink', 'Purple', 'Silver', 'Transparent', 'Yellow']"
23194,"['Beige', 'Gold', 'Green', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
23195,"['Brown', 'Burgundy', 'Gold', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Red', 'Transparent', 'Yellow']"
23196,"['Beige', 'Black', 'Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Orange', 'Pink', 'Red', 'Transparent']"
23197,"['Beige', 'Burgundy', 'Green', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Silver', 'White', 'Yellow']"
23198,"['Burgundy', 'Gold', 'Green', 'Grey', 'Navy', 'Pink', 'Purple', 'Red']"
23199,"['Brown', 'Gold', 'Green', 'Khaki', 'Orange', 'Silver', 'White']"
23200,"['Burgundy', 'Green', 'Khaki', 'Orange', 'Pink', 'Purple', 'Silver', 'Yellow']"
23201,"['Burgundy', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Silver', 'Yellow']"
23202,"['Beige', 'Black', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Pink', 'Purple', 'Red']"
23203,"['Beige', 'Brown', 'Burgundy', 'Gold', 'Khaki', 'Multiple Colors', 'Orange', 'Purple', 'Red', 'Silver']"
23204,"['Beige', 'Brown', 'Burgundy', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Transparent']"
23205,"['Beige', 'Black', 'Brown', 'Burgundy', 'Gold', 'Grey', 'Orange', 'Pink', 'Red', 'White']"
23206,"['Brown', 'Gold', 'Green', 'Pink', 'Silver', 'White']"
23207,"['Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Silver']"
23208,"['Gold', 'Green', 'Grey', 'Multiple Colors', 'Navy', 'Pink', 'Purple', 'Red', 'Transparent']"
23209,"['Beige', 'Navy', 'Orange', 'Pink', 'Red', 'Silver', 'Transparent']"
23210,"['Black', 'Blue', 'Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Orange', 'Purple', 'Silver']"
23211,"['Green', 'Khaki', 'Orange', 'Pink', 'Purple', 'Silver', 'Yellow']"
23212,"['Blue', 'Brown', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Silver']"
23213,"['Brown', 'Gold', 'Red', 'Silver', 'White']"
23214,"['Beige', 'Black', 'Green', 'Grey', 'Orange', 'Pink', 'Red']"
23215,"['Beige', 'Gold', 'Green', 'Khaki', 'Multiple Colors', 'Orange', 'Purple', 'Red', 'White']"
23216,"['Burgundy', 'Gold', 'Green', 'Navy', 'Orange', 'Pink', 'Purple', 'White', 'Yellow']"
23217,"['Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
23218,"['Gold', 'Green', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Silver', 'Yellow']"
23219,"['Gold', 'Grey', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Silver', 'Yellow']"
23220,"['Brown', 'Gold', 'Pink', 'Purple', 'Red', 'Silver', 'White', 'Yellow']"
23221,"['Beige', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'Transparent', 'White']"
23222,"['Beige', 'Brown', 'Orange', 'Pink', 'Red', 'Silver']"
23223,"['Beige', 'Blue', 'Burgundy', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Silver', 'White', 'Yellow']"
23224,"['Brown', 'Gold', 'Green', 'Multiple Colors', 'Pink', 'Red', 'Silver', 'Transparent']"
23225,"['Beige', 'Brown', 'Green', 'Grey', 'Multiple Colors', 'Orange', 'Purple', 'Silver']"
23226,"['Beige', 'Black', 'Brown', 'Gold', 'Multiple Colors', 'Navy', 'Pink', 'Purple', 'Transparent']"
23227,"['Beige', 'Black', 'Brown', 'Gold', 'Grey', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
23228,"['Brown', 'Gold', 'Grey', 'Multiple Colors', 'Purple', 'Silver', 'Transparent']"
23229,"['Brown', 'Grey', 'Orange', 'Pink', 'Red', 'Silver', 'Transparent', 'Yellow']"
23230,"['Beige', 'Black', 'Brown', 'Grey', 'Pink', 'Purple', 'Silver', 'Transparent', 'Yellow']"
23231,"['Blue', 'Grey', 'Khaki', 'Orange', 'Pink', 'Purple', 'Transparent', 'Yellow']"
23232,"['Beige', 'Black', 'Brown', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
23233,"['Beige', 'Black', 'Blue', 'Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Purple', 'White', 'Yellow']"
23234,"['Burgundy', 'Gold', 'Grey', 'Khaki', 'Navy', 'Pink', 'Purple', 'Transparent', 'White', 'Yellow']"
23235,"['Blue', 'Brown', 'Green', 'Multiple Colors', 'Orange', 'Red', 'Silver', 'Yellow']"
23236,"['Beige', 'Blue', 'Brown', 'Grey', 'Khaki', 'Purple', 'Red', 'Silver']"
23237,"['Black', 'Gold', 'Green', 'Grey', 'Khaki', 'Orange', 'Pink', 'Purple', 'White']"
23238,"['Beige', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Transparent', 'Yellow']"
23239,"['Beige', 'Blue', 'Brown', 'Green', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Transparent']"
23240,"['Beige', 'Black', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Pink', 'Purple', 'Silver', 'Transparent']"
23241,"['Black', 'Brown', 'Burgundy', 'Gold', 'Grey', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Silver', 'Transparent', 'Yellow']"
23242,"['Beige', 'Blue', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Orange', 'Pink', 'Purple', 'Yellow']"
23243,"['Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Orange', 'Pink', 'Purple', 'Red']"
23244,"['Burgundy', 'Gold', 'Green', 'Multiple Colors', 'Orange', 'Pink', 'Purple']"
23245,"['Black', 'Blue', 'Gold', 'Green', 'Grey', 'Khaki', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'White']"
23246,"['Beige', 'Brown', 'Green', 'Khaki', 'Red', 'Silver', 'Transparent', 'Yellow']"
23247,"['Gold', 'Grey', 'Khaki', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'White', 'Yellow']"
23248,"['Brown', 'Burgundy', 'Gold', 'Khaki', 'Navy', 'Orange', 'Purple', 'Red', 'Silver']"
23249,"['Blue', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Red']"
23250,"['Brown', 'Green', 'Navy', 'Orange', 'Purple', 'Silver', 'White']"
23251,"['Beige', 'Black', 'Brown', 'Green', 'Grey', 'Khaki', 'Pink', 'Purple', 'Red', 'Silver']"
23252,"['Black', 'Brown', 'Burgundy', 'Green', 'Grey', 'Khaki', 'Navy', 'Orange', 'Purple']"
23253,"['Brown', 'Grey', 'Orange', 'Pink', 'Purple', 'Silver', 'White']"
23254,"['Beige', 'Green', 'Grey', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Transparent', 'Yellow']"
23255,"['Beige', 'Brown', 'Green', 'Grey', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
23256,"['Black', 'Blue', 'Green', 'Khaki', 'Pink', 'Purple', 'White', 'Yellow']"
23257,"['Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
23258,"['Black', 'Grey', 'Khaki', 'Pink', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
23259,"['Brown', 'Gold', 'Green', 'Khaki', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
23260,"['Black', 'Brown', 'Burgundy', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Red', 'Silver', 'White']"
23261,"['Brown', 'Khaki', 'Multiple Colors', 'Purple', 'Red', 'Silver', 'Yellow']"
23262,"['Beige', 'Brown', 'Gold', 'Green', 'Khaki', 'Pink', 'Purple', 'Red', 'White']"
23263,"['Blue', 'Gold', 'Grey', 'Pink', 'Purple', 'Silver', 'White', 'Yellow']"
23264,"['Beige', 'Multiple Colors', 'Pink', 'Red']"
23265,"['Beige', 'Brown', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Purple', 'Silver', 'Transparent', 'Yellow']"
23266,"['Gold', 'Grey', 'Orange', 'Pink', 'Purple', 'Yellow']"
23267,"['Blue', 'Brown', 'Burgundy', 'Green', 'Grey', 'Orange', 'Red']"
23268,"['Beige', 'Brown', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Navy', 'Purple', 'Silver', 'Transparent', 'Yellow']"
23269,"['Beige', 'Black', 'Brown', 'Gold', 'Green', 'Khaki', 'Multiple Colors', 'Pink', 'Silver', 'Transparent', 'White']"
23270,"['Black', 'Brown', 'Gold', 'Pink', 'Red', 'Transparent', 'White', 'Yellow']"
23271,"['Brown', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Silver']"
23272,"['Brown', 'Burgundy', 'Khaki', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
23273,"['Black', 'Burgundy', 'Gold', 'Khaki', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'White', 'Yellow']"
23274,"['Blue', 'Brown', 'Gold', 'Green', 'Khaki', 'Silver', 'Transparent', 'White', 'Yellow']"
23275,"['Beige', 'Black', 'Brown', 'Gold', 'Green', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'White', 'Yellow']"
23276,"['Blue', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Silver']"
23277,"['Beige', 'Gold', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'White']"
23278,"['Brown', 'Burgundy', 'Gold', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Silver', 'White', 'Yellow']"
23279,"['Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Pink', 'Purple', 'Red', 'Silver', 'White', 'Yellow']"
23280,"['Brown', 'Grey', 'Khaki', 'Orange', 'Pink', 'Red', 'Silver', 'Transparent']"
23281,"['Black', 'Blue', 'Gold', 'Orange', 'Pink', 'Purple', 'Silver', 'Transparent', 'Yellow']"
23282,"['Burgundy', 'Gold', 'Green', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Silver', 'Yellow']"
23283,"['Green', 'Grey', 'Multiple Colors', 'Navy', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
23284,"['Blue', 'Brown', 'Burgundy', 'Green', 'Grey', 'Orange', 'Pink', 'Silver', 'Yellow']"
23285,"['Blue', 'Green', 'Grey', 'Orange', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
23286,"['Brown', 'Burgundy', 'Gold', 'Green', 'Purple', 'Silver', 'Transparent']"
23287,"['Blue', 'Brown', 'Gold', 'Green', 'Orange', 'Pink', 'Purple', 'Silver', 'Transparent', 'Yellow']"
23288,"['Grey', 'Khaki', 'Purple', 'Transparent', 'Yellow']"
23289,"['Blue', 'Brown', 'Burgundy', 'Grey', 'Orange', 'Purple', 'Red', 'Silver']"
23290,"['Black', 'Burgundy', 'Gold', 'Grey', 'Khaki', 'Silver', 'White', 'Yellow']"
23291,"['Beige', 'Brown', 'Gold', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'Transparent']"
23292,"['Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Purple', 'Red', 'Silver', 'Transparent', 'White', 'Yellow']"
23293,"['Beige', 'Blue', 'Brown', 'Burgundy', 'Grey', 'Orange', 'Purple', 'White']"
23294,"['Gold', 'Green', 'Grey', 'Orange', 'Pink', 'Purple', 'Red', 'Transparent']"
23295,"['Grey', 'Orange', 'Pink', 'Silver', 'Transparent', 'Yellow']"
23296,"['Black', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'White']"
23297,"['Black', 'Blue', 'Gold', 'Khaki', 'Orange', 'Pink', 'Purple', 'Silver', 'White', 'Yellow']"
23298,"['Beige', 'Black', 'Blue', 'Brown', 'Grey', 'Khaki', 'Pink', 'Purple', 'Yellow']"
23299,"['Black', 'Brown', 'Gold', 'Grey', 'Khaki', 'Multiple Colors', 'Red', 'Yellow']"
23300,"['Beige', 'Blue', 'Gold', 'Green', 'Navy', 'Purple', 'Red', 'Silver', 'Yellow']"
23301,"['Beige', 'Black', 'Gold', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Orange', 'Pink', 'Red', 'Transparent', 'White']"
23302,"['Brown', 'Grey', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Silver', 'White', 'Yellow']"
23303,"['Beige', 'Brown', 'Gold', 'Green', 'Navy', 'Orange', 'Purple', 'Silver']"
23304,"['Gold', 'Green', 'Silver', 'White', 'Yellow']"
23305,"['Black', 'Blue', 'Brown', 'Burgundy', 'Gold', 'Khaki', 'Pink', 'Silver', 'Transparent', 'Yellow']"
23306,"['Beige', 'Brown', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Silver']"
23307,"['Brown', 'Gold', 'Grey', 'Khaki', 'Navy', 'Pink', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
23308,"['Brown', 'Multiple Colors', 'Pink', 'Red', 'Transparent', 'White', 'Yellow']"
23309,"['Beige', 'Burgundy', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Red', 'Silver', 'Transparent', 'White', 'Yellow']"
23310,"['Blue', 'Gold', 'Green', 'Grey', 'Navy', 'Pink', 'Red']"
23311,"['Beige', 'Blue', 'Burgundy', 'Gold', 'Khaki', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
23312,"['Gold', 'Grey', 'Khaki', 'Pink', 'Purple', 'Silver', 'White', 'Yellow']"
23313,"['Brown', 'Grey', 'Multiple Colors', 'Navy', 'Purple', 'Red', 'Silver', 'White', 'Yellow']"
23314,"['Grey', 'Multiple Colors', 'Orange', 'Silver']"
23315,"['Gold', 'Green', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
23316,"['Brown', 'Green', 'Grey', 'Khaki', 'Purple', 'Silver', 'Yellow']"
23317,"['Beige', 'Brown', 'Green', 'Multiple Colors', 'Navy', 'Pink', 'Red', 'Silver', 'Yellow']"
23318,"['Black', 'Blue', 'Grey', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
23319,"['Brown', 'Burgundy', 'Green', 'Grey', 'Khaki', 'Orange', 'Pink', 'Purple', 'Silver', 'Yellow']"
23320,"['Beige', 'Gold', 'Green', 'Grey', 'Orange', 'Purple', 'Silver', 'Transparent']"
23321,"['Beige', 'Black', 'Blue', 'Brown', 'Burgundy', 'Gold', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Purple', 'Red', 'Yellow']"
23322,"['Beige', 'Brown', 'Green', 'Pink', 'Silver', 'Transparent', 'Yellow']"
23323,"['Black', 'Brown', 'Gold', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Silver']"
23324,"['Grey', 'Multiple Colors', 'Navy', 'Orange', 'Red', 'Silver', 'Transparent', 'Yellow']"
23325,"['Beige', 'Brown', 'Gold', 'Green', 'Pink', 'Purple', 'Red', 'Yellow']"
23326,"['Beige', 'Black', 'Brown', 'Gold', 'Grey', 'Multiple Colors', 'Orange', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
23327,"['Beige', 'Brown', 'Gold', 'Grey', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
23328,"['Black', 'Gold', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Transparent']"
23329,"['Beige', 'Gold', 'Green', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Transparent', 'White']"
23330,"['Brown', 'Gold', 'Grey', 'Multiple Colors', 'Pink', 'Red', 'White', 'Yellow']"
23331,"['Beige', 'Black', 'Blue', 'Brown', 'Gold', 'Grey', 'Navy', 'Orange', 'Yellow']"
23332,"['Gold', 'Grey', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
23333,"['Beige', 'Gold', 'Green', 'Grey', 'Khaki', 'Navy', 'Orange', 'Pink', 'Red', 'Silver', 'White', 'Yellow']"
23334,"['Blue', 'Brown', 'Gold', 'Grey', 'Multiple Colors', 'Orange', 'Purple', 'Silver', 'Transparent']"
23335,"['Beige', 'Gold', 'Green', 'Grey', 'Khaki', 'Navy', 'Pink', 'Red', 'White', 'Yellow']"
23336,"['Gold', 'Green', 'Khaki', 'Pink', 'Purple', 'Red', 'Silver']"
23337,"['Beige', 'Brown', 'Burgundy', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Pink', 'Purple', 'Red', 'White', 'Yellow']"
23338,"['Beige', 'Green', 'Grey', 'Navy', 'Orange', 'Silver', 'Transparent']"
23339,"['Brown', 'Green', 'Grey', 'Multiple Colors', 'Pink', 'Purple', 'Transparent', 'Yellow']"
23340,"['Brown', 'Grey', 'Orange', 'Purple', 'Silver', 'Yellow']"
23341,"['Gold', 'Green', 'Grey', 'Pink', 'Purple', 'Silver', 'Yellow']"
23342,"['Beige', 'Brown', 'Green', 'Grey', 'Multiple Colors', 'Pink', 'Red', 'Silver', 'Yellow']"
23343,"['Blue', 'Brown', 'Burgundy', 'Gold', 'Green', 'Khaki', 'Pink', 'Purple', 'Red', 'Silver']"
23344,"['Brown', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Transparent']"
23345,"['Beige', 'Black', 'Brown', 'Gold', 'Grey', 'Khaki', 'Pink', 'Transparent', 'Yellow']"
23346,"['Beige', 'Green', 'Grey', 'Khaki', 'Pink', 'Red', 'Silver', 'White', 'Yellow']"
23347,"['Blue', 'Brown', 'Khaki', 'Orange', 'Pink', 'Red', 'Silver']"
23348,"['Brown', 'Burgundy', 'Khaki', 'Orange', 'Pink', 'Silver', 'White', 'Yellow']"
23349,"['Brown', 'Gold', 'Green', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'White', 'Yellow']"
23350,"['Beige', 'Brown', 'Burgundy', 'Khaki', 'Orange', 'Pink', 'Transparent', 'White', 'Yellow']"
23351,"['Beige', 'Blue', 'Burgundy', 'Green', 'Grey', 'Khaki', 'Navy', 'Orange', 'Pink', 'White']"
23352,"['Black', 'Blue', 'Gold', 'Khaki', 'Multiple Colors', 'Orange', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
23353,"['Beige', 'Burgundy', 'Gold', 'Green', 'Khaki', 'Multiple Colors', 'Navy', 'Orange', 'Purple', 'Red', 'Silver']"
23354,"['Gold', 'Green', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Pink', 'Red', 'Silver', 'Yellow']"
23355,"['Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Yellow']"
23356,"['Brown', 'Burgundy', 'Grey', 'Khaki', 'Orange', 'Purple', 'Red', 'Silver']"
23357,"['Beige', 'Blue', 'Gold', 'Green', 'Grey', 'Orange', 'Purple', 'Red', 'Transparent']"
23358,"['Beige', 'Gold', 'Green', 'Grey', 'Khaki', 'Navy', 'Pink', 'Purple', 'Silver', 'White']"
23359,"['Brown', 'Burgundy', 'Green', 'Grey', 'Khaki', 'Navy', 'Orange', 'Pink', 'Red', 'Silver', 'Yellow']"
23360,"['Beige', 'Brown', 'Green', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
23361,"['Beige', 'Blue', 'Brown', 'Burgundy', 'Green', 'Khaki', 'Navy', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
23362,"['Beige', 'Black', 'Green', 'Grey', 'Orange', 'Purple', 'Silver', 'Yellow']"
23363,"['Blue', 'Brown', 'Green', 'Grey', 'Khaki', 'Orange', 'Pink', 'Purple']"
23364,"['Beige', 'Black', 'Blue', 'Brown', 'Grey', 'Pink', 'Purple', 'Silver']"
23365,"['Beige', 'Brown', 'Gold', 'Green', 'Multiple Colors', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
23366,"['Brown', 'Gold', 'Green', 'Orange', 'Pink', 'Purple', 'Red', 'Transparent', 'White', 'Yellow']"
23367,"['Beige', 'Brown', 'Burgundy', 'Gold', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Orange', 'Purple', 'Red', 'White']"
23368,"['Blue', 'Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'White', 'Yellow']"
23369,"['Brown', 'Gold', 'Grey', 'Khaki', 'Multiple Colors', 'Pink', 'Purple', 'Silver', 'Transparent', 'Yellow']"
23370,"['Beige', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Orange', 'Silver', 'Transparent']"
23371,"['Brown', 'Gold', 'Grey', 'Navy', 'Purple', 'Red', 'Yellow']"
23372,"['Beige', 'Brown', 'Gold', 'Green', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red']"
23373,"['Blue', 'Brown', 'Gold', 'Khaki', 'Navy', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
23374,"['Beige', 'Brown', 'Burgundy', 'Gold', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Purple', 'Red', 'Yellow']"
23375,"['Beige', 'Blue', 'Brown', 'Gold', 'Khaki', 'Pink', 'Red', 'Silver']"
23376,"['Blue', 'Brown', 'Burgundy', 'Gold', 'Grey', 'Orange', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent']"
23377,"['Beige', 'Black', 'Brown', 'Burgundy', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Purple', 'Red', 'Transparent', 'Yellow']"
23378,"['Black', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Pink', 'Transparent', 'Yellow']"
23379,"['Beige', 'Black', 'Blue', 'Gold', 'Grey', 'Khaki', 'Navy', 'Pink', 'Red', 'Silver', 'Transparent', 'White', 'Yellow']"
23380,"['Brown', 'Gold', 'Multiple Colors', 'Orange', 'Silver', 'Yellow']"
23381,"['Beige', 'Black', 'Brown', 'Gold', 'Green', 'Grey', 'Navy', 'Pink', 'Purple', 'Silver', 'Transparent', 'White']"
23382,"['Beige', 'Brown', 'Gold', 'Green', 'Grey', 'Purple', 'Silver', 'Transparent']"
23383,"['Brown', 'Burgundy', 'Gold', 'Khaki', 'Orange', 'Purple', 'Red', 'Silver']"
23384,"['Beige', 'Gold', 'Grey', 'Multiple Colors', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
23385,"['Beige', 'Black', 'Blue', 'Brown', 'Burgundy', 'Green', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Silver']"
23386,"['Black', 'Burgundy', 'Green', 'Grey', 'Khaki', 'Navy', 'Pink', 'Purple', 'Red', 'Silver', 'Transparent', 'Yellow']"
23387,"['Beige', 'Brown', 'Gold', 'Green', 'Grey', 'Khaki', 'Pink', 'Red', 'Silver', 'Yellow']"
23388,"['Black', 'Gold', 'Khaki', 'Orange', 'Pink', 'Red', 'Silver', 'Yellow']"
23389,"['Beige', 'Blue', 'Brown', 'Green', 'Grey', 'Khaki', 'Pink', 'Purple', 'White']"
23390,"['Beige', 'Blue', 'Burgundy', 'Gold', 'Khaki', 'Orange', 'Purple', 'Red', 'White']"
23391,"['Beige', 'Brown', 'Gold', 'Grey', 'Purple', 'Red', 'Silver', 'Transparent']"
23392,"['Blue', 'Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Khaki', 'Pink', 'Purple', 'Red', 'Silver', 'Yellow']"
23393,"['Black', 'Burgundy', 'Khaki', 'Pink', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
23394,"['Black', 'Gold', 'Green', 'Grey', 'Navy', 'Purple', 'Silver', 'Transparent', 'Yellow']"
23395,"['Brown', 'Grey', 'Khaki', 'Multiple Colors', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
23396,"['Beige', 'Gold', 'Grey', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'Silver']"
23397,"['Brown', 'Gold', 'Grey', 'Orange', 'Pink', 'Purple', 'Red']"
23398,"['Black', 'Brown', 'Burgundy', 'Green', 'Khaki', 'Pink', 'Purple', 'Transparent', 'White', 'Yellow']"
23399,"['Blue', 'Brown', 'Khaki', 'Pink', 'White', 'Yellow']"
23400,"['Gold', 'Green', 'Grey', 'Multiple Colors', 'Pink', 'Purple', 'Yellow']"
23401,"['Beige', 'Gold', 'Green', 'Khaki', 'Multiple Colors', 'Navy', 'Pink', 'Purple', 'Yellow']"
23402,"['Beige', 'Black', 'Brown', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Purple', 'Transparent']"
23403,"['Beige', 'Brown', 'Burgundy', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Purple', 'Transparent']"
23404,"['Beige', 'Brown', 'Gold', 'Green', 'Grey', 'Multiple Colors', 'Navy', 'Orange', 'Purple', 'Silver', 'Transparent', 'White', 'Yellow']"
23405,"['Brown', 'Gold', 'Green', 'Grey', 'Orange', 'Pink', 'Red', 'Silver', 'Yellow']"
23406,"['Beige', 'Brown', 'Navy', 'Orange', 'Pink', 'Purple', 'Red', 'Silver']"
23407,"['Beige', 'Blue', 'Brown', 'Green', 'Grey', 'Khaki', 'Navy', 'Purple', 'Silver', 'Transparent', 'White']"
23408,"['Black', 'Brown', 'Multiple Colors', 'Orange', 'Pink', 'Purple', 'Red', 'Transparent', 'Yellow']"
23409,"['Burgundy', 'Gold', 'Green', 'Khaki', 'Pink', 'Purple', 'Silver', 'Yellow']"
23410,"['Black', 'Gold', 'Grey', 'Khaki', 'Multiple Colors', 'Orange', 'Silver', 'Transparent']"
